draw_seq,date,p1,p2,p3,p4,p5,p6,strong_num
436,2020-08-31,23,5,16,24,33,11,2
435,2020-08-28,22,34,21,31,12,1,1
434,2020-08-24,10,3,33,31,6,28,2
433,2020-08-21,24,21,15,27,10,12,7
432,2020-08-17,16,21,29,6,3,15,1
431,2020-08-14,23,16,34,18,35,37,6
430,2020-08-10,1,11,31,13,5,14,3
429,2020-08-07,11,35,6,5,15,37,4
428,2020-08-03,2,19,5,3,6,11,4
427,2020-07-31,33,22,8,19,28,14,7
426,2020-07-27,32,5,33,31,16,28,5
425,2020-07-24,33,4,7,30,15,10,5
424,2020-07-20,13,16,14,12,23,35,6
423,2020-07-17,29,5,24,4,19,13,3
422,2020-07-13,8,15,23,6,19,7,7
421,2020-07-10,10,15,16,2,36,11,7
420,2020-07-06,29,32,34,18,15,28,1
419,2020-07-03,17,29,14,36,32,37,5
418,2020-06-29,33,25,30,20,10,35,2
417,2020-06-26,6,26,27,21,13,3,3
416,2020-06-22,26,8,4,10,31,12,3
415,2020-06-19,13,15,24,4,21,22,3
414,2020-06-15,34,12,24,30,28,35,1
413,2020-06-12,18,7,13,22,23,37,1
412,2020-06-08,3,33,9,27,31,13,2
411,2020-06-05,18,32,24,20,14,28,2
410,2020-06-01,32,27,26,18,12,21,3
409,2020-05-29,30,23,33,34,26,31,1
408,2020-05-25,22,16,32,17,26,10,5
407,2020-05-22,16,9,1,28,25,29,4
406,2020-05-18,15,4,11,31,36,28,6
405,2020-05-15,19,12,5,7,36,34,1
404,2020-05-11,31,3,1,13,32,26,5
403,2020-05-08,23,11,25,7,17,26,5
402,2020-05-04,7,20,14,32,17,28,7
401,2020-05-01,4,34,12,5,10,14,7
400,2020-04-27,26,7,22,12,5,19,2
399,2020-04-24,24,3,20,1,35,30,7
398,2020-04-20,1,26,6,18,28,9,7
397,2020-04-17,1,36,2,16,10,8,7
396,2020-04-13,22,17,32,26,16,28,2
395,2020-04-10,15,34,26,32,1,7,6
394,2020-04-06,14,18,22,25,28,1,3
393,2020-04-03,13,30,28,10,32,8,1
392,2020-03-30,33,11,13,2,10,6,6
391,2020-03-27,2,26,3,13,20,35,7
390,2020-03-23,21,32,23,2,34,30,3
389,2020-03-20,10,29,13,37,4,22,6
388,2020-03-16,26,9,2,4,16,21,3
387,2020-03-13,29,8,37,4,33,9,7
386,2020-03-09,16,37,31,28,24,10,1
385,2020-03-06,10,5,14,26,11,4,4
384,2020-03-02,15,17,7,6,4,25,3
383,2020-02-28,8,26,14,3,6,2,3
382,2020-02-24,19,22,13,31,24,35,2
381,2020-02-21,3,6,17,33,11,1,4
380,2020-02-17,19,28,21,22,16,3,2
379,2020-02-14,13,17,7,29,34,1,7
378,2020-02-10,1,7,33,8,5,26,3
377,2020-02-07,2,15,24,12,26,19,2
376,2020-02-03,18,19,7,23,1,13,2
375,2020-01-31,15,23,8,34,21,12,6
374,2020-01-27,11,20,27,26,18,21,7
373,2020-01-24,9,30,29,8,28,7,2
372,2020-01-20,15,28,13,4,27,17,5
371,2020-01-17,30,5,25,20,10,12,5
370,2020-01-13,10,9,30,34,31,21,5
369,2020-01-10,18,8,31,3,27,12,5
368,2020-01-06,1,32,31,26,30,36,1
367,2020-01-03,2,18,31,6,3,24,1
366,2019-12-30,6,29,18,15,21,27,7
365,2019-12-27,12,11,26,2,36,28,6
364,2019-12-23,32,35,20,1,11,28,7
363,2019-12-20,36,16,17,27,3,5,4
362,2019-12-16,30,2,14,7,15,25,6
361,2019-12-13,20,17,37,28,36,4,3
360,2019-12-09,23,1,29,28,24,2,4
359,2019-12-06,22,28,12,30,24,31,1
358,2019-12-02,12,17,22,19,36,37,2
357,2019-11-29,20,17,34,6,1,5,7
356,2019-11-25,13,31,30,36,20,17,5
355,2019-11-22,31,28,4,10,20,9,7
354,2019-11-18,1,15,29,27,16,13,5
353,2019-11-15,28,10,9,16,2,33,6
352,2019-11-11,3,28,17,8,2,14,4
351,2019-11-08,10,5,8,21,26,13,1
350,2019-11-04,33,20,9,15,27,17,1
349,2019-11-01,12,22,35,16,19,32,4
348,2019-10-28,22,1,37,27,16,3,3
347,2019-10-25,25,12,35,1,19,15,2
346,2019-10-21,25,20,23,21,34,16,2
345,2019-10-18,21,23,3,15,20,34,3
344,2019-10-14,8,12,19,21,18,2,7
343,2019-10-11,22,24,33,16,18,32,3
342,2019-10-07,22,15,31,2,17,37,7
341,2019-10-04,33,1,36,18,30,16,6
340,2019-09-30,30,28,12,6,11,34,3
339,2019-09-27,8,23,13,37,14,12,6
338,2019-09-23,20,23,14,12,22,5,5
337,2019-09-20,31,11,5,37,27,13,5
336,2019-09-16,6,14,30,37,5,3,2
335,2019-09-13,17,21,29,24,13,9,7
334,2019-09-09,6,8,22,12,10,35,6
333,2019-09-06,27,34,1,36,11,10,1
332,2019-09-02,12,18,34,24,30,15,2
331,2019-08-30,27,10,18,36,22,23,1
330,2019-08-26,34,18,25,17,23,1,3
329,2019-08-23,32,10,8,36,7,19,6
328,2019-08-19,12,10,36,17,19,2,3
327,2019-08-16,28,36,23,10,33,24,3
326,2019-08-12,24,28,13,12,34,1,6
325,2019-08-09,33,12,3,28,9,13,4
324,2019-08-05,21,28,14,32,5,24,7
323,2019-08-02,8,29,4,37,34,5,6
322,2019-07-29,37,31,22,27,24,1,3
321,2019-07-26,32,14,25,36,28,24,5
320,2019-07-22,30,10,24,22,32,28,3
319,2019-07-19,20,37,4,34,14,7,6
318,2019-07-15,34,36,2,13,10,33,1
317,2019-07-12,33,11,2,29,22,1,7
316,2019-07-08,1,26,37,36,21,30,1
315,2019-07-05,23,2,14,5,3,20,3
314,2019-07-01,23,13,20,8,17,33,6
313,2019-06-28,18,17,11,24,30,22,4
312,2019-06-24,7,36,16,13,5,11,5
311,2019-06-21,31,16,37,29,14,8,3
310,2019-06-17,17,26,10,11,12,4,7
309,2019-06-14,12,21,2,27,33,14,7
308,2019-06-10,26,15,24,14,8,22,5
307,2019-06-07,22,12,4,35,31,32,5
306,2019-06-03,23,2,3,35,14,7,5
305,2019-05-31,17,4,11,10,23,13,1
304,2019-05-27,7,28,9,8,27,1,2
303,2019-05-24,25,9,13,22,23,32,7
302,2019-05-20,26,4,11,28,10,30,7
301,2019-05-17,9,31,3,35,30,28,1
300,2019-05-13,32,11,21,18,31,8,4
299,2019-05-10,21,20,9,5,13,14,2
298,2019-05-06,17,22,20,10,25,2,1
297,2019-05-03,8,14,15,30,5,37,3
296,2019-04-29,6,22,4,2,18,28,1
295,2019-04-26,35,21,17,9,30,32,7
294,2019-04-22,25,6,30,28,10,21,6
293,2019-04-19,18,12,16,30,28,9,5
292,2019-04-15,11,12,5,4,21,15,7
291,2019-04-12,27,3,22,8,23,32,4
290,2019-04-08,21,20,24,27,26,25,4
289,2019-04-05,11,7,31,30,27,15,2
288,2019-04-01,6,16,33,5,24,37,2
287,2019-03-29,25,35,30,12,22,20,5
286,2019-03-25,36,11,22,6,13,37,6
285,2019-03-22,37,4,22,21,35,36,5
284,2019-03-18,30,19,15,20,22,16,7
283,2019-03-15,18,33,5,7,36,35,1
282,2019-03-11,1,34,33,28,37,36,5
281,2019-03-08,32,11,26,12,22,2,2
280,2019-03-04,24,5,20,2,16,14,4
279,2019-03-01,37,18,29,6,24,25,5
278,2019-02-25,7,31,28,14,17,16,2
277,2019-02-22,29,37,34,19,14,27,3
276,2019-02-18,10,31,37,26,29,11,2
275,2019-02-15,16,4,19,17,21,11,1
274,2019-02-11,36,25,4,17,8,11,3
273,2019-02-08,12,24,11,15,16,2,4
272,2019-02-04,16,35,6,8,25,5,1
271,2019-02-01,2,17,5,29,34,13,7
270,2019-01-28,23,28,30,20,27,35,7
269,2019-01-25,34,35,6,28,24,32,2
268,2019-01-21,16,22,8,26,29,5,5
267,2019-01-18,28,21,12,30,32,24,5
266,2019-01-14,3,2,26,29,17,20,5
265,2019-01-11,13,14,30,1,11,23,6
264,2019-01-07,19,15,22,33,30,28,6
263,2019-01-04,13,9,1,34,18,28,3
262,2018-12-31,20,2,27,26,9,23,2
261,2018-12-28,14,24,36,30,15,29,4
260,2018-12-24,8,30,31,22,17,15,1
259,2018-12-21,5,35,9,11,3,15,3
258,2018-12-17,7,18,2,13,3,6,1
257,2018-12-14,37,9,21,28,11,10,7
256,2018-12-10,3,27,12,8,16,24,2
255,2018-12-07,2,1,10,14,35,18,6
254,2018-12-03,2,29,19,18,33,3,2
253,2018-11-30,11,28,13,4,30,6,5
252,2018-11-26,32,33,30,2,3,14,3
251,2018-11-23,12,10,31,11,4,36,2
250,2018-11-19,16,32,36,37,9,14,6
249,2018-11-16,34,19,18,14,8,30,4
248,2018-11-12,22,2,16,33,14,32,3
247,2018-11-09,16,34,33,18,27,2,3
246,2018-11-05,16,23,17,25,4,2,5
245,2018-11-02,32,29,24,3,31,33,7
244,2018-10-29,17,23,13,18,5,9,7
243,2018-10-26,5,28,10,34,31,19,4
242,2018-10-22,28,21,22,12,25,36,5
241,2018-10-19,32,37,19,27,31,6,6
240,2018-10-15,30,3,6,23,13,32,2
239,2018-10-12,5,22,4,15,7,34,4
238,2018-10-08,6,5,31,34,36,19,1
237,2018-10-05,4,27,18,29,16,8,1
236,2018-10-01,32,24,31,36,13,29,2
235,2018-09-28,27,20,30,5,22,33,6
234,2018-09-24,30,15,27,10,13,14,1
233,2018-09-21,31,6,15,18,35,33,5
232,2018-09-17,23,25,29,11,37,14,4
231,2018-09-14,34,25,27,11,23,14,6
230,2018-09-10,10,8,13,35,34,30,6
229,2018-09-07,3,4,25,1,23,15,4
228,2018-09-03,6,37,21,8,25,7,6
227,2018-08-31,12,25,8,3,26,6,1
226,2018-08-27,4,22,20,11,9,13,7
225,2018-08-24,23,16,29,6,20,24,6
224,2018-08-20,12,13,26,6,21,9,5
223,2018-08-17,21,3,4,33,22,34,6
222,2018-08-13,16,20,2,18,37,14,5
221,2018-08-10,34,31,32,7,33,36,1
220,2018-08-06,29,16,19,26,1,37,5
219,2018-08-03,34,8,16,6,14,25,7
218,2018-07-30,4,6,15,7,21,23,7
217,2018-07-27,2,6,35,23,9,10,6
216,2018-07-23,12,7,20,5,37,28,7
215,2018-07-20,17,7,30,3,5,31,1
214,2018-07-16,17,3,9,27,34,31,5
213,2018-07-13,21,7,25,32,4,20,2
212,2018-07-09,31,24,23,11,17,19,7
211,2018-07-06,23,7,25,32,20,34,7
210,2018-07-02,10,18,35,24,26,6,4
209,2018-06-29,1,14,25,7,33,23,1
208,2018-06-25,10,18,3,23,26,1,4
207,2018-06-22,15,1,17,4,23,28,6
206,2018-06-18,22,17,36,35,30,6,7
205,2018-06-15,14,31,5,16,3,6,1
204,2018-06-11,22,20,27,2,3,36,6
203,2018-06-08,20,33,9,14,31,3,4
202,2018-06-04,15,3,5,23,13,14,6
201,2018-06-01,2,26,20,35,15,29,6
200,2018-05-28,20,11,25,16,23,26,6
199,2018-05-25,7,22,2,14,33,34,3
198,2018-05-21,1,15,32,18,37,4,1
197,2018-05-18,14,20,11,27,13,12,7
196,2018-05-14,20,31,29,16,17,6,3
195,2018-05-11,16,5,24,17,22,37,2
194,2018-05-07,25,24,33,4,9,12,3
193,2018-05-04,18,33,20,30,24,35,3
192,2018-04-30,1,20,6,8,26,10,4
191,2018-04-27,24,19,5,8,23,21,2
190,2018-04-23,20,30,2,12,22,8,3
189,2018-04-20,6,32,26,36,3,33,1
188,2018-04-16,13,12,14,35,5,25,7
187,2018-04-13,17,24,29,8,7,3,5
186,2018-04-09,31,7,14,22,24,33,3
185,2018-04-06,21,36,20,1,9,29,2
184,2018-04-02,17,33,11,13,3,16,4
183,2018-03-30,16,18,27,36,13,11,2
182,2018-03-26,2,29,17,34,27,3,5
181,2018-03-23,30,36,32,5,9,2,4
180,2018-03-19,35,8,5,36,6,16,3
179,2018-03-16,23,13,2,25,34,5,7
178,2018-03-12,25,22,30,16,20,29,1
177,2018-03-09,13,19,24,35,7,29,6
176,2018-03-05,11,6,3,23,10,33,1
175,2018-03-02,10,21,11,19,32,9,1
174,2018-02-26,11,5,27,21,3,8,7
173,2018-02-23,1,22,20,31,3,32,4
172,2018-02-19,24,2,18,30,10,3,6
171,2018-02-16,30,28,27,14,32,24,5
170,2018-02-12,24,22,34,28,19,5,6
169,2018-02-09,14,36,19,13,11,28,5
168,2018-02-05,31,21,30,14,24,20,3
167,2018-02-02,31,26,13,11,28,21,2
166,2018-01-29,36,2,28,25,35,6,5
165,2018-01-26,16,5,7,24,1,18,3
164,2018-01-22,37,25,31,35,15,33,1
163,2018-01-19,13,2,25,30,26,29,5
162,2018-01-15,22,18,11,29,19,31,3
161,2018-01-12,31,16,1,30,33,5,6
160,2018-01-08,15,24,16,29,4,36,2
159,2018-01-05,37,30,17,19,20,36,3
158,2018-01-01,30,26,31,24,32,5,6
157,2017-12-29,32,11,23,22,26,8,2
156,2017-12-25,31,17,27,7,34,11,4
155,2017-12-22,14,23,10,19,17,2,6
154,2017-12-18,23,14,17,18,32,24,5
153,2017-12-15,35,33,36,34,27,23,2
152,2017-12-11,5,19,4,18,3,21,4
151,2017-12-08,37,6,33,8,36,4,4
150,2017-12-04,1,31,17,9,27,25,5
149,2017-12-01,3,31,10,7,15,36,6
148,2017-11-27,6,10,3,16,31,30,3
147,2017-11-24,2,18,23,20,1,27,7
146,2017-11-20,20,26,2,1,33,27,1
145,2017-11-17,26,10,37,24,16,11,1
144,2017-11-13,18,1,25,6,20,36,5
143,2017-11-10,35,36,12,19,9,14,1
142,2017-11-06,24,37,17,23,13,6,6
141,2017-11-03,18,26,25,27,34,23,1
140,2017-10-30,32,4,34,25,17,23,4
139,2017-10-27,21,12,32,16,2,27,1
138,2017-10-23,11,21,12,1,22,36,6
137,2017-10-20,17,23,11,4,10,19,6
136,2017-10-16,27,25,24,12,14,10,3
135,2017-10-13,19,10,1,14,37,20,3
134,2017-10-09,32,34,14,6,31,11,1
133,2017-10-06,18,5,1,37,9,24,2
132,2017-10-02,3,24,22,25,8,30,1
131,2017-09-29,6,5,28,36,12,23,7
130,2017-09-25,20,29,12,3,19,10,3
129,2017-09-22,28,33,37,7,17,3,4
128,2017-09-18,21,37,2,13,28,27,1
127,2017-09-15,36,9,2,26,7,35,6
126,2017-09-11,36,12,30,17,3,18,7
125,2017-09-08,31,24,7,37,33,6,5
124,2017-09-04,8,12,27,23,7,16,1
123,2017-09-01,14,2,32,3,12,1,3
122,2017-08-28,1,36,9,2,30,27,7
121,2017-08-25,23,13,1,25,4,22,3
120,2017-08-21,23,13,10,8,26,30,4
119,2017-08-18,21,35,6,3,32,37,2
118,2017-08-14,33,8,6,29,19,27,2
117,2017-08-11,24,6,35,13,30,17,5
116,2017-08-07,27,34,18,37,16,25,5
115,2017-08-04,30,33,17,34,19,11,6
114,2017-07-31,31,6,8,11,17,29,2
113,2017-07-28,22,21,9,34,30,3,7
112,2017-07-24,12,10,15,31,8,32,2
111,2017-07-21,25,2,9,32,15,33,5
110,2017-07-17,23,14,22,27,24,4,3
109,2017-07-14,5,2,1,4,17,35,1
108,2017-07-10,2,10,13,37,19,23,1
107,2017-07-07,8,10,21,25,16,36,7
106,2017-07-03,34,2,23,5,27,19,2
105,2017-06-30,16,9,26,33,15,6,3
104,2017-06-26,24,9,28,2,17,10,6
103,2017-06-23,21,5,24,11,35,4,4
102,2017-06-19,6,21,35,27,8,34,4
101,2017-06-16,15,21,30,16,19,5,5
100,2017-06-12,26,4,34,17,25,32,2
99,2017-06-09,13,27,3,28,11,19,6
98,2017-06-05,29,34,36,20,31,33,3
97,2017-06-02,9,4,30,6,26,31,7
96,2017-05-29,26,2,19,17,9,29,2
95,2017-05-26,25,1,17,22,11,19,7
94,2017-05-22,35,37,30,7,25,1,7
93,2017-05-19,6,12,37,2,7,30,7
92,2017-05-15,30,36,14,35,4,28,3
91,2017-05-12,19,30,35,21,31,29,4
90,2017-05-08,11,10,13,30,22,12,1
89,2017-05-05,17,7,18,32,10,4,5
88,2017-05-01,19,5,7,30,20,3,5
87,2017-04-28,7,29,24,33,10,23,1
86,2017-04-24,17,18,26,33,2,19,3
85,2017-04-21,1,2,29,7,33,8,2
84,2017-04-17,15,30,18,9,32,28,7
83,2017-04-14,23,25,24,32,7,30,5
82,2017-04-10,22,36,13,29,30,12,4
81,2017-04-07,5,11,27,37,1,21,3
80,2017-04-03,8,17,7,22,23,35,2
79,2017-03-31,18,5,33,14,31,37,1
78,2017-03-27,4,35,14,25,28,30,3
77,2017-03-24,12,19,35,14,15,36,7
76,2017-03-20,36,14,29,26,31,1,4
75,2017-03-17,15,19,21,33,35,9,2
74,2017-03-13,3,4,33,35,25,2,6
73,2017-03-10,18,9,34,28,30,23,1
72,2017-03-06,36,32,34,17,33,16,5
71,2017-03-03,12,4,5,14,9,31,4
70,2017-02-27,28,30,16,23,3,26,6
69,2017-02-24,12,10,9,32,34,13,2
68,2017-02-20,27,37,5,29,35,23,3
67,2017-02-17,8,3,10,29,6,27,2
66,2017-02-13,21,8,3,34,25,31,1
65,2017-02-10,24,31,25,18,15,37,3
64,2017-02-06,15,4,33,22,5,26,5
63,2017-02-03,6,20,1,33,4,21,2
62,2017-01-30,35,32,14,10,30,37,1
61,2017-01-27,23,2,17,30,4,13,4
60,2017-01-23,1,36,29,31,33,35,1
59,2017-01-20,12,32,29,9,5,31,6
58,2017-01-16,12,25,35,26,37,15,6
57,2017-01-13,6,7,27,4,32,3,6
56,2017-01-09,18,16,28,4,5,33,6
55,2017-01-06,28,30,23,27,36,12,4
54,2017-01-02,14,15,32,20,30,9,6
53,2016-12-30,34,5,10,8,24,14,5
52,2016-12-26,9,1,32,29,7,23,5
51,2016-12-23,16,23,20,1,2,27,5
50,2016-12-19,23,25,18,19,12,27,1
49,2016-12-16,20,31,13,37,1,8,5
48,2016-12-12,27,29,25,33,32,21,5
47,2016-12-09,16,7,25,34,18,23,7
46,2016-12-05,9,10,4,35,5,36,2
45,2016-12-02,32,18,2,11,34,29,5
44,2016-11-28,3,6,12,28,26,23,7
43,2016-11-25,36,17,16,6,22,14,6
42,2016-11-21,19,34,18,22,30,33,7
41,2016-11-18,19,31,30,18,32,13,1
40,2016-11-14,20,11,25,28,19,15,7
39,2016-11-11,17,32,34,31,14,15,4
38,2016-11-07,34,21,5,7,31,15,2
37,2016-11-04,12,16,18,21,11,6,6
36,2016-10-31,23,28,19,2,12,7,3
35,2016-10-28,26,34,2,24,35,11,1
34,2016-10-24,9,35,12,7,25,14,2
33,2016-10-21,36,27,10,25,28,26,4
32,2016-10-17,26,37,22,12,5,11,4
31,2016-10-14,19,33,13,6,23,20,5
30,2016-10-10,20,26,31,2,25,11,4
29,2016-10-07,7,21,10,16,33,1,2
28,2016-10-03,33,30,1,10,24,27,4
27,2016-09-30,23,19,20,26,29,8,7
26,2016-09-26,4,27,26,11,32,28,1
25,2016-09-23,5,36,1,9,37,27,5
24,2016-09-19,17,22,30,21,8,29,2
23,2016-09-16,34,3,17,7,19,1,7
22,2016-09-12,35,11,15,9,5,19,4
21,2016-09-09,8,22,11,6,24,20,7
20,2016-09-05,25,12,17,13,31,5,4
19,2016-09-02,29,11,6,13,10,25,1
18,2016-08-29,1,10,31,25,15,6,7
17,2016-08-26,6,28,21,32,29,26,6
16,2016-08-22,36,24,5,18,21,35,6
15,2016-08-19,25,22,7,15,9,24,6
14,2016-08-15,19,34,2,17,13,16,3
13,2016-08-12,1,4,7,20,37,22,2
12,2016-08-08,28,17,31,23,34,13,7
11,2016-08-05,10,20,17,31,13,21,7
10,2016-08-01,28,13,15,25,17,30,4
9,2016-07-29,7,21,27,11,33,37,1
8,2016-07-25,2,22,29,33,28,20,2
7,2016-07-22,18,31,19,22,33,7,6
6,2016-07-18,28,6,11,35,29,9,7
5,2016-07-15,11,9,34,8,1,3,1
4,2016-07-11,27,6,28,21,4,23,1
3,2016-07-08,21,12,25,15,8,1,6
2,2016-07-04,21,25,27,2,30,15,5
1,2016-07-01,30,33,13,6,24,29,1
